Unidades de saúde;Data;Quantidade de leitos UTI Adulto COVID;Disponíveis/Vagos UTI Adulto COVID;Ocupados UTI Adulto COVID;Bloqueados UTI Adulto COVID;Ocupação(%) de leitos UTI Adulto COVID;Quantidade de leitos UTI Adulto Não COVID;Disponíveis/Vagos UTI Adulto Não COVID;Ocupados UTI Adulto Não COVID;Bloqueados UTI Adulto Não COVID;Ocupação(%) de leitos UTI Adulto Não COVID
AGUAS LINDAS/HCAMP;06/09/2020;41;8;33;0;80,49;;;;;
AGUAS LINDAS/HCAMP;07/09/2020;41;9;32;0;78,05;;;;;
AGUAS LINDAS/HCAMP;08/09/2020;41;13;28;0;68,29;;;;;
AGUAS LINDAS/HCAMP;09/09/2020;41;10;31;0;75,61;;;;;
AGUAS LINDAS/HCAMP;10/09/2020;41;10;31;0;75,61;;;;;
AGUAS LINDAS/HCAMP;11/09/2020;41;6;31;4;85,37;;;;;
AGUAS LINDAS/HCAMP;12/09/2020;41;3;34;4;92,68;;;;;
AGUAS LINDAS/HCAMP;13/09/2020;41;2;35;4;95,12;;;;;
AGUAS LINDAS/HCAMP;14/09/2020;41;8;29;4;80,49;;;;;
AGUAS LINDAS/HCAMP;15/09/2020;41;8;29;4;80,49;;;;;
AGUAS LINDAS/HCAMP;16/09/2020;41;8;29;4;80,49;;;;;
AGUAS LINDAS/HCAMP;17/09/2020;41;9;28;4;78,05;;;;;
AGUAS LINDAS/HCAMP;18/09/2020;40;11;29;0;72,5;;;;;
AGUAS LINDAS/HCAMP;19/09/2020;40;10;30;0;75,0;;;;;
AGUAS LINDAS/HCAMP;20/09/2020;40;5;35;0;87,5;;;;;
AGUAS LINDAS/HCAMP;21/09/2020;40;3;37;0;92,5;;;;;
AGUAS LINDAS/HCAMP;22/09/2020;40;4;35;1;90,0;;;;;
AGUAS LINDAS/HCAMP;23/09/2020;40;6;33;1;85,0;;;;;
AGUAS LINDAS/HCAMP;24/09/2020;40;9;30;1;77,5;;;;;
AGUAS LINDAS/HCAMP;25/09/2020;40;7;32;1;82,5;;;;;
AGUAS LINDAS/HCAMP;26/09/2020;40;6;33;1;85,0;;;;;
AGUAS LINDAS/HCAMP;27/09/2020;40;3;36;1;92,5;;;;;
AGUAS LINDAS/HCAMP;28/09/2020;40;7;32;1;82,5;;;;;
AGUAS LINDAS/HCAMP;29/09/2020;40;7;32;1;82,5;;;;;
AGUAS LINDAS/HCAMP;30/09/2020;40;9;30;1;77,5;;;;;
AGUAS LINDAS/HCAMP;01/10/2020;40;13;26;1;67,5;;;;;
AGUAS LINDAS/HCAMP;02/10/2020;40;20;19;1;50,0;;;;;
AGUAS LINDAS/HCAMP;03/10/2020;40;23;16;1;42,5;;;;;
AGUAS LINDAS/HCAMP;04/10/2020;40;25;14;1;37,5;;;;;
AGUAS LINDAS/HCAMP;05/10/2020;14;1;13;0;92,86;;;;;
AGUAS LINDAS/HCAMP;06/10/2020;13;2;11;0;84,62;;;;;
AGUAS LINDAS/HCAMP;07/10/2020;8;0;4;4;100,0;;;;;
AGUAS LINDAS/HCAMP;08/10/2020;3;0;3;0;100,0;;;;;
AGUAS LINDAS/HCAMP;09/10/2020;2;0;2;0;100,0;;;;;
AGUAS LINDAS/HCAMP;10/10/2020;2;0;2;0;100,0;;;;;
AGUAS LINDAS/HCAMP;11/10/2020;2;0;2;0;100,0;;;;;
AGUAS LINDAS/HCAMP;12/10/2020;2;0;2;0;100,0;;;;;
AGUAS LINDAS/HCAMP;13/10/2020;2;0;2;0;100,0;;;;;
AGUAS LINDAS/HCAMP;14/10/2020;2;0;2;0;100,0;;;;;
AGUAS LINDAS/HCAMP;15/10/2020;2;0;2;0;100,0;;;;;
AGUAS LINDAS/HCAMP;16/10/2020;1;0;1;0;100,0;;;;;
AGUAS LINDAS/HCAMP;17/10/2020;1;0;1;0;100,0;;;;;
ANÁPOLIS/HEANA;01/01/2020;;;;;;20;1;17;2;95,0
