Data,Quantidade de leitos UTI Adulto COVID
08/09/2020,33
09/09/2020,33
10/09/2020,33
11/09/2020,33
12/09/2020,33
13/09/2020,33
14/09/2020,33
15/09/2020,33
16/09/2020,33
17/09/2020,33
18/09/2020,33
19/09/2020,33
20/09/2020,33
21/09/2020,33
22/09/2020,33
23/09/2020,33
24/09/2020,33
25/09/2020,33
26/09/2020,33
27/09/2020,33
28/09/2020,33
29/09/2020,33
30/09/2020,33
01/10/2020,33
02/10/2020,33
03/10/2020,33
04/10/2020,33
05/10/2020,33
06/10/2020,33
07/10/2020,33
08/10/2020,33
09/10/2020,33
10/10/2020,33
11/10/2020,33
12/10/2020,33
13/10/2020,33
14/10/2020,33
15/10/2020,33
16/10/2020,33
17/10/2020,33
18/10/2020,33
19/10/2020,33
20/10/2020,33
21/10/2020,33
22/10/2020,33
23/10/2020,33
24/10/2020,33
25/10/2020,33
26/10/2020,33
27/10/2020,33
28/10/2020,33
29/10/2020,33
30/10/2020,33
31/10/2020,33
01/11/2020,33
02/11/2020,33
03/11/2020,33
04/11/2020,33
05/11/2020,33
06/11/2020,33
07/11/2020,33
08/11/2020,33
09/11/2020,33
10/11/2020,33
11/11/2020,33
12/11/2020,33
13/11/2020,33
14/11/2020,33
15/11/2020,33
16/11/2020,21
17/11/2020,21
18/11/2020,21
19/11/2020,21
20/11/2020,21
21/11/2020,21
22/11/2020,21
23/11/2020,21
24/11/2020,21
25/11/2020,21
26/11/2020,21
27/11/2020,21
28/11/2020,21
29/11/2020,21
30/11/2020,21
01/12/2020,21
02/12/2020,21
03/12/2020,21
04/12/2020,21
05/12/2020,21
06/12/2020,21
07/12/2020,21
08/12/2020,21
09/12/2020,21
10/12/2020,21
11/12/2020,21
12/12/2020,21
13/12/2020,21
14/12/2020,21
15/12/2020,21
16/12/2020,21
17/12/2020,21
18/12/2020,21
19/12/2020,21
20/12/2020,21
21/12/2020,21
22/12/2020,21
23/12/2020,21
24/12/2020,21
25/12/2020,21
26/12/2020,21
27/12/2020,21
28/12/2020,21
29/12/2020,21
30/12/2020,21
31/12/2020,21
01/01/2021,21
02/01/2021,21
03/01/2021,21
04/01/2021,21
05/01/2021,21
06/01/2021,21
07/01/2021,21
08/01/2021,21
09/01/2021,21
10/01/2021,21
11/01/2021,21
12/01/2021,21
13/01/2021,21
14/01/2021,21
15/01/2021,21
16/01/2021,21
17/01/2021,21
18/01/2021,21
19/01/2021,21
20/01/2021,21
21/01/2021,21
22/01/2021,21
23/01/2021,21
24/01/2021,21
25/01/2021,21
26/01/2021,21
27/01/2021,21
28/01/2021,21
29/01/2021,21
30/01/2021,21
31/01/2021,21
01/02/2021,21
02/02/2021,21
03/02/2021,21
04/02/2021,21
05/02/2021,21
06/02/2021,21
07/02/2021,21
08/02/2021,21
09/02/2021,21
10/02/2021,21
11/02/2021,21
12/02/2021,21
13/02/2021,21
14/02/2021,21
15/02/2021,21
16/02/2021,21
17/02/2021,21
18/02/2021,21
19/02/2021,21
20/02/2021,21
21/02/2021,21
22/02/2021,21
23/02/2021,21
24/02/2021,21
25/02/2021,21
26/02/2021,21
27/02/2021,21
28/02/2021,21
01/03/2021,21
02/03/2021,21
03/03/2021,21
04/03/2021,21
05/03/2021,21
06/03/2021,21
07/03/2021,21
08/03/2021,21
09/03/2021,21
10/03/2021,21
11/03/2021,21
12/03/2021,21
13/03/2021,21
14/03/2021,21
15/03/2021,21
16/03/2021,21
17/03/2021,21
18/03/2021,21
19/03/2021,21
20/03/2021,21
21/03/2021,21
22/03/2021,21
23/03/2021,21
24/03/2021,21
25/03/2021,21
26/03/2021,21
27/03/2021,21
28/03/2021,21
29/03/2021,21
30/03/2021,21
31/03/2021,21
01/04/2021,21
02/04/2021,21
03/04/2021,21
04/04/2021,21
05/04/2021,21
06/04/2021,21
07/04/2021,21
08/04/2021,21
09/04/2021,21
10/04/2021,21
11/04/2021,21
12/04/2021,21
13/04/2021,21
14/04/2021,21
15/04/2021,21
16/04/2021,21
17/04/2021,21
18/04/2021,21
19/04/2021,21
20/04/2021,21
21/04/2021,21
22/04/2021,21
23/04/2021,21
24/04/2021,21
25/04/2021,21
26/04/2021,21
27/04/2021,21
28/04/2021,21
29/04/2021,21
30/04/2021,21
01/05/2021,21
02/05/2021,21
03/05/2021,21
04/05/2021,21
05/05/2021,21
06/05/2021,21
07/05/2021,21
08/05/2021,21
09/05/2021,21
10/05/2021,21
11/05/2021,21
12/05/2021,21
13/05/2021,21
14/05/2021,21
15/05/2021,21
16/05/2021,21
17/05/2021,21
18/05/2021,21
19/05/2021,21
20/05/2021,21
21/05/2021,21
22/05/2021,21
23/05/2021,21
24/05/2021,21
25/05/2021,21
26/05/2021,21
27/05/2021,21
28/05/2021,21
29/05/2021,21
30/05/2021,21
31/05/2021,21
01/06/2021,21
02/06/2021,21
03/06/2021,21
04/06/2021,21
05/06/2021,21
06/06/2021,21
07/06/2021,21
08/06/2021,21
09/06/2021,21
10/06/2021,21
11/06/2021,21
12/06/2021,21
13/06/2021,21
14/06/2021,21
15/06/2021,21
16/06/2021,21
17/06/2021,21
18/06/2021,21
19/06/2021,21
20/06/2021,21
21/06/2021,21
22/06/2021,21
23/06/2021,21
24/06/2021,21
25/06/2021,21
26/06/2021,21
27/06/2021,21
28/06/2021,21
29/06/2021,21
30/06/2021,21
01/07/2021,21
02/07/2021,21
03/07/2021,21
04/07/2021,21
05/07/2021,21
06/07/2021,21
07/07/2021,21
08/07/2021,21
09/07/2021,21
10/07/2021,21
11/07/2021,21
12/07/2021,21
13/07/2021,21
14/07/2021,21
15/07/2021,21
16/07/2021,21
17/07/2021,21
18/07/2021,21
19/07/2021,21
20/07/2021,21
21/07/2021,21
22/07/2021,21
23/07/2021,21
24/07/2021,21
25/07/2021,21
26/07/2021,21
28/07/2021,21
29/07/2021,21
30/07/2021,21
31/07/2021,21
01/08/2021,21
02/08/2021,21
03/08/2021,21
04/08/2021,21
05/08/2021,21
06/08/2021,21
07/08/2021,21
08/08/2021,21
09/08/2021,21
10/08/2021,21
11/08/2021,21
12/08/2021,21
13/08/2021,21
14/08/2021,21
15/08/2021,21
16/08/2021,21
17/08/2021,21
18/08/2021,21
19/08/2021,21
20/08/2021,21
21/08/2021,21
22/08/2021,21
23/08/2021,21
24/08/2021,21
25/08/2021,21
26/08/2021,21
27/08/2021,21
28/08/2021,21
29/08/2021,21
30/08/2021,21
31/08/2021,21
01/09/2021,21
02/09/2021,21
03/09/2021,21
04/09/2021,21
05/09/2021,21
06/09/2021,21
07/09/2021,21
08/09/2021,21
09/09/2021,21
10/09/2021,21
11/09/2021,21
12/09/2021,21
13/09/2021,21
14/09/2021,21
15/09/2021,21
16/09/2021,21
17/09/2021,21
18/09/2021,21
19/09/2021,21
20/09/2021,21
21/09/2021,21
22/09/2021,7
23/09/2021,7
24/09/2021,7
25/09/2021,7
26/09/2021,7
27/09/2021,7
28/09/2021,7
29/09/2021,7
30/09/2021,7
01/10/2021,7
02/10/2021,7
03/10/2021,7
04/10/2021,7
05/10/2021,7
06/10/2021,7
07/10/2021,7
08/10/2021,7
09/10/2021,7
10/10/2021,7
11/10/2021,7
12/10/2021,7
13/10/2021,7
14/10/2021,7
15/10/2021,7
16/10/2021,7
17/10/2021,7
18/10/2021,7
19/10/2021,7
20/10/2021,7
21/10/2021,7
22/10/2021,7
23/10/2021,7
24/10/2021,7
25/10/2021,7
26/10/2021,7
27/10/2021,7
28/10/2021,7
29/10/2021,7
30/10/2021,7
31/10/2021,7
01/11/2021,7
02/11/2021,7
03/11/2021,7
04/11/2021,7
05/11/2021,7
06/11/2021,7
07/11/2021,7
08/11/2021,7
09/11/2021,7
10/11/2021,7
11/11/2021,7
12/11/2021,7
13/11/2021,7
14/11/2021,7
15/11/2021,7
16/11/2021,7
17/11/2021,7
18/11/2021,7
19/11/2021,7
20/11/2021,7
21/11/2021,7
22/11/2021,7
23/11/2021,7
24/11/2021,7
25/11/2021,7
26/11/2021,7
27/11/2021,7
28/11/2021,7
29/11/2021,7
30/11/2021,7
01/12/2021,7
02/12/2021,7
03/12/2021,7
04/12/2021,7
05/12/2021,7
06/12/2021,7
07/12/2021,7
08/12/2021,7
09/12/2021,7
10/12/2021,7
11/12/2021,7
12/12/2021,7
13/12/2021,7
14/12/2021,7
15/12/2021,7
16/12/2021,7
17/12/2021,7
18/12/2021,7
19/12/2021,7
20/12/2021,7
21/12/2021,7
22/12/2021,7
23/12/2021,7
24/12/2021,7
25/12/2021,7
26/12/2021,7
27/12/2021,7
28/12/2021,7
29/12/2021,7
30/12/2021,7
31/12/2021,7
01/01/2022,7
02/01/2022,7
03/01/2022,7
04/01/2022,7
05/01/2022,7
06/01/2022,7
07/01/2022,7
08/01/2022,7
09/01/2022,7
10/01/2022,7
11/01/2022,7
12/01/2022,7
13/01/2022,7
14/01/2022,7
15/01/2022,7
16/01/2022,7
17/01/2022,7
18/01/2022,7
19/01/2022,7
20/01/2022,7
21/01/2022,7
22/01/2022,7
23/01/2022,7
24/01/2022,7
25/01/2022,7
26/01/2022,7
27/01/2022,7
28/01/2022,7
29/01/2022,7
30/01/2022,7
31/01/2022,7
01/02/2022,7
02/02/2022,7
03/02/2022,7
04/02/2022,7
05/02/2022,7
06/02/2022,7
07/02/2022,7
08/02/2022,7
09/02/2022,7
10/02/2022,7
11/02/2022,7
12/02/2022,7
13/02/2022,7
14/02/2022,7
15/02/2022,7
16/02/2022,7
17/02/2022,7
18/02/2022,7
19/02/2022,7
20/02/2022,7
21/02/2022,7
22/02/2022,7
23/02/2022,7
24/02/2022,7
25/02/2022,7
26/02/2022,7
27/02/2022,7
28/02/2022,7
01/03/2022,7
02/03/2022,7
03/03/2022,7
04/03/2022,7
05/03/2022,7
06/03/2022,7
07/03/2022,7
08/03/2022,7
09/03/2022,7
10/03/2022,7
11/03/2022,7
12/03/2022,7
13/03/2022,7
14/03/2022,7
15/03/2022,7
16/03/2022,7
17/03/2022,7
18/03/2022,7
19/03/2022,7
20/03/2022,7
21/03/2022,7
22/03/2022,7
23/03/2022,7
24/03/2022,7
25/03/2022,7
26/03/2022,7
27/03/2022,7
28/03/2022,7
29/03/2022,7
30/03/2022,7
31/03/2022,7
01/04/2022,7
02/04/2022,7
03/04/2022,7
04/04/2022,7
05/04/2022,7
06/04/2022,7
07/04/2022,7
08/04/2022,7
09/04/2022,7
10/04/2022,7
11/04/2022,7
12/04/2022,7
13/04/2022,7
14/04/2022,7
15/04/2022,7
16/04/2022,7
17/04/2022,7
18/04/2022,7
19/04/2022,7
20/04/2022,7
21/04/2022,
22/04/2022,
23/04/2022,
24/04/2022,
25/04/2022,
26/04/2022,
27/04/2022,
28/04/2022,
29/04/2022,
30/04/2022,
01/05/2022,
02/05/2022,
03/05/2022,
04/05/2022,
05/05/2022,
06/05/2022,
07/05/2022,
08/05/2022,
09/05/2022,
10/05/2022,
11/05/2022,
12/05/2022,
13/05/2022,
14/05/2022,
15/05/2022,
16/05/2022,
17/05/2022,
18/05/2022,
19/05/2022,
20/05/2022,
21/05/2022,
22/05/2022,
23/05/2022,
24/05/2022,
25/05/2022,
26/05/2022,
27/05/2022,
28/05/2022,
29/05/2022,
30/05/2022,
31/05/2022,
01/06/2022,
02/06/2022,
03/06/2022,
04/06/2022,
05/06/2022,
06/06/2022,
07/06/2022,
08/06/2022,
09/06/2022,
10/06/2022,
11/06/2022,
12/06/2022,
13/06/2022,
14/06/2022,
15/06/2022,
16/06/2022,
17/06/2022,
18/06/2022,
19/06/2022,
20/06/2022,
21/06/2022,
22/06/2022,
23/06/2022,
24/06/2022,
25/06/2022,
26/06/2022,
27/06/2022,
28/06/2022,
29/06/2022,
30/06/2022,
01/07/2022,
02/07/2022,
03/07/2022,
04/07/2022,
05/07/2022,
06/07/2022,
07/07/2022,
08/07/2022,
09/07/2022,
10/07/2022,
11/07/2022,
12/07/2022,
13/07/2022,
14/07/2022,
15/07/2022,
16/07/2022,
17/07/2022,
18/07/2022,
19/07/2022,
20/07/2022,
21/07/2022,
22/07/2022,
23/07/2022,
24/07/2022,
25/07/2022,
26/07/2022,
27/07/2022,
28/07/2022,
29/07/2022,
30/07/2022,
31/07/2022,
01/08/2022,
02/08/2022,
03/08/2022,
04/08/2022,
05/08/2022,
06/08/2022,
07/08/2022,
08/08/2022,
09/08/2022,
10/08/2022,
11/08/2022,
12/08/2022,
13/08/2022,
14/08/2022,
15/08/2022,
16/08/2022,
17/08/2022,
18/08/2022,
19/08/2022,
20/08/2022,
21/08/2022,
22/08/2022,
23/08/2022,
24/08/2022,
25/08/2022,
26/08/2022,
27/08/2022,
28/08/2022,
29/08/2022,
30/08/2022,
31/08/2022,
01/09/2022,
02/09/2022,
03/09/2022,
04/09/2022,
05/09/2022,
06/09/2022,
07/09/2022,
08/09/2022,
09/09/2022,
10/09/2022,
11/09/2022,
12/09/2022,
13/09/2022,
14/09/2022,
15/09/2022,
16/09/2022,
17/09/2022,
18/09/2022,
19/09/2022,
20/09/2022,
21/09/2022,
22/09/2022,
23/09/2022,
24/09/2022,
25/09/2022,
26/09/2022,
27/09/2022,
28/09/2022,
29/09/2022,
30/09/2022,
01/10/2022,
02/10/2022,
03/10/2022,
04/10/2022,
05/10/2022,
06/10/2022,
07/10/2022,
08/10/2022,
09/10/2022,
10/10/2022,
11/10/2022,
12/10/2022,
13/10/2022,
14/10/2022,
15/10/2022,
16/10/2022,
17/10/2022,
18/10/2022,
19/10/2022,
20/10/2022,
21/10/2022,
22/10/2022,
23/10/2022,
24/10/2022,
25/10/2022,
26/10/2022,
27/10/2022,
28/10/2022,
29/10/2022,
30/10/2022,
31/10/2022,
01/11/2022,
02/11/2022,
03/11/2022,
04/11/2022,
05/11/2022,
06/11/2022,
07/11/2022,
08/11/2022,
09/11/2022,
10/11/2022,
11/11/2022,
12/11/2022,
13/11/2022,
14/11/2022,
15/11/2022,
16/11/2022,
17/11/2022,
18/11/2022,
19/11/2022,
20/11/2022,
21/11/2022,
22/11/2022,
23/11/2022,
24/11/2022,
25/11/2022,
26/11/2022,
27/11/2022,
28/11/2022,
29/11/2022,
30/11/2022,
01/12/2022,
02/12/2022,
03/12/2022,
04/12/2022,
05/12/2022,
06/12/2022,
07/12/2022,
08/12/2022,
09/12/2022,
10/12/2022,
11/12/2022,
12/12/2022,
13/12/2022,
14/12/2022,
15/12/2022,
16/12/2022,
17/12/2022,
18/12/2022,
19/12/2022,
20/12/2022,
21/12/2022,
22/12/2022,
23/12/2022,
24/12/2022,
25/12/2022,
26/12/2022,
27/12/2022,
28/12/2022,
29/12/2022,
30/12/2022,
31/12/2022,
01/01/2020,
02/01/2020,
03/01/2020,
04/01/2020,
05/01/2020,
06/01/2020,
07/01/2020,
08/01/2020,
09/01/2020,
10/01/2020,
11/01/2020,
12/01/2020,
13/01/2020,
14/01/2020,
15/01/2020,
16/01/2020,
17/01/2020,
18/01/2020,
19/01/2020,
20/01/2020,
21/01/2020,
22/01/2020,
23/01/2020,
24/01/2020,
25/01/2020,
26/01/2020,
27/01/2020,
28/01/2020,
29/01/2020,
30/01/2020,
31/01/2020,
01/02/2020,
02/02/2020,
03/02/2020,
04/02/2020,
05/02/2020,
06/02/2020,
07/02/2020,
08/02/2020,
09/02/2020,
10/02/2020,
11/02/2020,
12/02/2020,
13/02/2020,
14/02/2020,
15/02/2020,
16/02/2020,
17/02/2020,
18/02/2020,
19/02/2020,
20/02/2020,
21/02/2020,
22/02/2020,
23/02/2020,
24/02/2020,
25/02/2020,
26/02/2020,
27/02/2020,
28/02/2020,
29/02/2020,
01/03/2020,
02/03/2020,
03/03/2020,
04/03/2020,
05/03/2020,
06/03/2020,
07/03/2020,
08/03/2020,
09/03/2020,
10/03/2020,
11/03/2020,
12/03/2020,
13/03/2020,
14/03/2020,
15/03/2020,
16/03/2020,
17/03/2020,
18/03/2020,
19/03/2020,
20/03/2020,
21/03/2020,
22/03/2020,
23/03/2020,
24/03/2020,
25/03/2020,
26/03/2020,
27/03/2020,
28/03/2020,
29/03/2020,
30/03/2020,
31/03/2020,
01/04/2020,
02/04/2020,
03/04/2020,
04/04/2020,
05/04/2020,
06/04/2020,
07/04/2020,
08/04/2020,
09/04/2020,
10/04/2020,
11/04/2020,
12/04/2020,
13/04/2020,
14/04/2020,
15/04/2020,
16/04/2020,
17/04/2020,
18/04/2020,
19/04/2020,
20/04/2020,
21/04/2020,
22/04/2020,
23/04/2020,
24/04/2020,
25/04/2020,
26/04/2020,
27/04/2020,
28/04/2020,
29/04/2020,
30/04/2020,
01/05/2020,
02/05/2020,
03/05/2020,
04/05/2020,
05/05/2020,
06/05/2020,
07/05/2020,
08/05/2020,
09/05/2020,
10/05/2020,
11/05/2020,
12/05/2020,
13/05/2020,
14/05/2020,
15/05/2020,
16/05/2020,
17/05/2020,
18/05/2020,
19/05/2020,
20/05/2020,
21/05/2020,
22/05/2020,
23/05/2020,
24/05/2020,
25/05/2020,
26/05/2020,
27/05/2020,
28/05/2020,
29/05/2020,
30/05/2020,
31/05/2020,
01/06/2020,
02/06/2020,
03/06/2020,
04/06/2020,
05/06/2020,
06/06/2020,
07/06/2020,
08/06/2020,
09/06/2020,
10/06/2020,
11/06/2020,
12/06/2020,
13/06/2020,
14/06/2020,
15/06/2020,
16/06/2020,
17/06/2020,
18/06/2020,
19/06/2020,
20/06/2020,
21/06/2020,
22/06/2020,
23/06/2020,
24/06/2020,
25/06/2020,
26/06/2020,
27/06/2020,
28/06/2020,
29/06/2020,
30/06/2020,
01/07/2020,
02/07/2020,
03/07/2020,
04/07/2020,
05/07/2020,
06/07/2020,
07/07/2020,
08/07/2020,
09/07/2020,
10/07/2020,
11/07/2020,
12/07/2020,
13/07/2020,
14/07/2020,
15/07/2020,
16/07/2020,
17/07/2020,
18/07/2020,
19/07/2020,
20/07/2020,
21/07/2020,
22/07/2020,
23/07/2020,
24/07/2020,
25/07/2020,
26/07/2020,
27/07/2020,
28/07/2020,
29/07/2020,
30/07/2020,
31/07/2020,
01/08/2020,
02/08/2020,
03/08/2020,
04/08/2020,
05/08/2020,
06/08/2020,
07/08/2020,
08/08/2020,
09/08/2020,
10/08/2020,
11/08/2020,
12/08/2020,
13/08/2020,
14/08/2020,
15/08/2020,
16/08/2020,
17/08/2020,
18/08/2020,
19/08/2020,
20/08/2020,
21/08/2020,
22/08/2020,
23/08/2020,
24/08/2020,
25/08/2020,
26/08/2020,
27/08/2020,
28/08/2020,
29/08/2020,
30/08/2020,
31/08/2020,
01/09/2020,
02/09/2020,
03/09/2020,
04/09/2020,
05/09/2020,
06/09/2020,
07/09/2020,
08/09/2020,
09/09/2020,
10/09/2020,
11/09/2020,
12/09/2020,
13/09/2020,
14/09/2020,
15/09/2020,
16/09/2020,
17/09/2020,
18/09/2020,
19/09/2020,
20/09/2020,
21/09/2020,
22/09/2020,
23/09/2020,
24/09/2020,
25/09/2020,
26/09/2020,
27/09/2020,
28/09/2020,
29/09/2020,
30/09/2020,
01/10/2020,
02/10/2020,
03/10/2020,
04/10/2020,
05/10/2020,
06/10/2020,
07/10/2020,
08/10/2020,
09/10/2020,
10/10/2020,
11/10/2020,
12/10/2020,
13/10/2020,
14/10/2020,
15/10/2020,
16/10/2020,
17/10/2020,
18/10/2020,
19/10/2020,
20/10/2020,
21/10/2020,
22/10/2020,
23/10/2020,
24/10/2020,
25/10/2020,
26/10/2020,
27/10/2020,
28/10/2020,
29/10/2020,
30/10/2020,
31/10/2020,
01/11/2020,
02/11/2020,
03/11/2020,
04/11/2020,
05/11/2020,
06/11/2020,
07/11/2020,
08/11/2020,
09/11/2020,
10/11/2020,
11/11/2020,
12/11/2020,
13/11/2020,
14/11/2020,
15/11/2020,
16/11/2020,
17/11/2020,
18/11/2020,
19/11/2020,
20/11/2020,
21/11/2020,
22/11/2020,
23/11/2020,
24/11/2020,
25/11/2020,
26/11/2020,
27/11/2020,
28/11/2020,
29/11/2020,
30/11/2020,
01/12/2020,
02/12/2020,
03/12/2020,
04/12/2020,
05/12/2020,
06/12/2020,
07/12/2020,
08/12/2020,
09/12/2020,
10/12/2020,
11/12/2020,
12/12/2020,
13/12/2020,
14/12/2020,
15/12/2020,
16/12/2020,
17/12/2020,
18/12/2020,
19/12/2020,
20/12/2020,
21/12/2020,
22/12/2020,
23/12/2020,
24/12/2020,
25/12/2020,
26/12/2020,
27/12/2020,
28/12/2020,
29/12/2020,
30/12/2020,
31/12/2020,
01/01/2021,
02/01/2021,
03/01/2021,
04/01/2021,
05/01/2021,
06/01/2021,
07/01/2021,
08/01/2021,
09/01/2021,
10/01/2021,
11/01/2021,
12/01/2021,
13/01/2021,
14/01/2021,
15/01/2021,
16/01/2021,
17/01/2021,
18/01/2021,
19/01/2021,
20/01/2021,
21/01/2021,
22/01/2021,
23/01/2021,
24/01/2021,
25/01/2021,
26/01/2021,
27/01/2021,
28/01/2021,
29/01/2021,
30/01/2021,
31/01/2021,
01/02/2021,
02/02/2021,
03/02/2021,
04/02/2021,
05/02/2021,
06/02/2021,
07/02/2021,
08/02/2021,
09/02/2021,
10/02/2021,
11/02/2021,
12/02/2021,
13/02/2021,
14/02/2021,
15/02/2021,
16/02/2021,
17/02/2021,
18/02/2021,
19/02/2021,
20/02/2021,
21/02/2021,
22/02/2021,
23/02/2021,
24/02/2021,
25/02/2021,
26/02/2021,
27/02/2021,
28/02/2021,
01/03/2021,
02/03/2021,
03/03/2021,
04/03/2021,
